2
100
0	1
0	0	1
2	0	0	1
1.5	0	0	1
1.333333333333333333333333333333333333333333333333333333333333333	0	0	1
1.25	0	0	1
1.2	0	0	1
1.166666666666666666666666666666666666666666666666666666666666667	0	0	1
1.142857142857142857142857142857142857142857142857142857142857143	0	0	1
1.125	0	0	1
1.111111111111111111111111111111111111111111111111111111111111111	0	0	1
1.1	0	0	1
1.090909090909090909090909090909090909090909090909090909090909091	0	0	1
1.083333333333333333333333333333333333333333333333333333333333333	0	0	1
1.076923076923076923076923076923076923076923076923076923076923077	0	0	1
1.071428571428571428571428571428571428571428571428571428571428571	0	0	1
1.066666666666666666666666666666666666666666666666666666666666667	0	0	1
1.0625	0	0	1
1.058823529411764705882352941176470588235294117647058823529411765	0	0	1
1.055555555555555555555555555555555555555555555555555555555555556	0	0	1
1.052631578947368421052631578947368421052631578947368421052631579	0	0	1
1.05	0	0	1
1.047619047619047619047619047619047619047619047619047619047619048	0	0	1
1.045454545454545454545454545454545454545454545454545454545454545	0	0	1
1.043478260869565217391304347826086956521739130434782608695652174	0	0	1
1.041666666666666666666666666666666666666666666666666666666666667	0	0	1
1.04	0	0	1
1.038461538461538461538461538461538461538461538461538461538461538	0	0	1
1.037037037037037037037037037037037037037037037037037037037037037	0	0	1
1.035714285714285714285714285714285714285714285714285714285714286	0	0	1
1.034482758620689655172413793103448275862068965517241379310344828	0	0	1
1.033333333333333333333333333333333333333333333333333333333333333	0	0	1
1.032258064516129032258064516129032258064516129032258064516129032	0	0	1
1.03125	0	0	1
1.03030303030303030303030303030303030303030303030303030303030303	0	0	1
1.029411764705882352941176470588235294117647058823529411764705882	0	0	1
1.028571428571428571428571428571428571428571428571428571428571429	0	0	1
1.027777777777777777777777777777777777777777777777777777777777778	0	0	1
1.027027027027027027027027027027027027027027027027027027027027027	0	0	1
1.026315789473684210526315789473684210526315789473684210526315789	0	0	1
1.025641025641025641025641025641025641025641025641025641025641026	0	0	1
1.025	0	0	1
1.024390243902439024390243902439024390243902439024390243902439024	0	0	1
1.023809523809523809523809523809523809523809523809523809523809524	0	0	1
1.023255813953488372093023255813953488372093023255813953488372093	0	0	1
1.022727272727272727272727272727272727272727272727272727272727273	0	0	1
1.022222222222222222222222222222222222222222222222222222222222222	0	0	1
1.021739130434782608695652173913043478260869565217391304347826087	0	0	1
1.021276595744680851063829787234042553191489361702127659574468085	0	0	1
1.020833333333333333333333333333333333333333333333333333333333333	0	0	1
1.020408163265306122448979591836734693877551020408163265306122449	0	0	1
1.02	0	0	1
1.019607843137254901960784313725490196078431372549019607843137255	0	0	1
1.019230769230769230769230769230769230769230769230769230769230769	0	0	1
1.018867924528301886792452830188679245283018867924528301886792453	0	0	1
1.018518518518518518518518518518518518518518518518518518518518519	0	0	1
1.018181818181818181818181818181818181818181818181818181818181818	0	0	1
1.017857142857142857142857142857142857142857142857142857142857143	0	0	1
1.01754385964912280701754385964912280701754385964912280701754386	0	0	1
1.017241379310344827586206896551724137931034482758620689655172414	0	0	1
1.016949152542372881355932203389830508474576271186440677966101695	0	0	1
1.016666666666666666666666666666666666666666666666666666666666667	0	0	1
1.016393442622950819672131147540983606557377049180327868852459016	0	0	1
1.016129032258064516129032258064516129032258064516129032258064516	0	0	1
1.015873015873015873015873015873015873015873015873015873015873016	0	0	1
1.015625	0	0	1
1.015384615384615384615384615384615384615384615384615384615384615	0	0	1
1.015151515151515151515151515151515151515151515151515151515151515	0	0	1
1.014925373134328358208955223880597014925373134328358208955223881	0	0	1
1.014705882352941176470588235294117647058823529411764705882352941	0	0	1
1.014492753623188405797101449275362318840579710144927536231884058	0	0	1
1.014285714285714285714285714285714285714285714285714285714285714	0	0	1
1.014084507042253521126760563380281690140845070422535211267605634	0	0	1
1.013888888888888888888888888888888888888888888888888888888888889	0	0	1
1.013698630136986301369863013698630136986301369863013698630136986	0	0	1
1.013513513513513513513513513513513513513513513513513513513513514	0	0	1
1.013333333333333333333333333333333333333333333333333333333333333	0	0	1
1.013157894736842105263157894736842105263157894736842105263157895	0	0	1
1.012987012987012987012987012987012987012987012987012987012987013	0	0	1
1.012820512820512820512820512820512820512820512820512820512820513	0	0	1
1.012658227848101265822784810126582278481012658227848101265822785	0	0	1
1.0125	0	0	1
1.012345679012345679012345679012345679012345679012345679012345679	0	0	1
1.012195121951219512195121951219512195121951219512195121951219512	0	0	1
1.012048192771084337349397590361445783132530120481927710843373494	0	0	1
1.011904761904761904761904761904761904761904761904761904761904762	0	0	1
1.011764705882352941176470588235294117647058823529411764705882353	0	0	1
1.011627906976744186046511627906976744186046511627906976744186047	0	0	1
1.011494252873563218390804597701149425287356321839080459770114943	0	0	1
1.011363636363636363636363636363636363636363636363636363636363636	0	0	1
1.011235955056179775280898876404494382022471910112359550561797753	0	0	1
1.011111111111111111111111111111111111111111111111111111111111111	0	0	1
1.010989010989010989010989010989010989010989010989010989010989011	0	0	1
1.010869565217391304347826086956521739130434782608695652173913043	0	0	1
1.010752688172043010752688172043010752688172043010752688172043011	0	0	1
1.010638297872340425531914893617021276595744680851063829787234043	0	0	1
1.010526315789473684210526315789473684210526315789473684210526316	0	0	1
1.010416666666666666666666666666666666666666666666666666666666667	0	0	1
1.010309278350515463917525773195876288659793814432989690721649485	0	0	1
1.010101010101010101010101010101010101010101010101010101010101010	0	0
100
100
1
0
4.1
0.1

